FIPS,hospitals,icu_beds
36019,1,21
36021,1,9
36023,1,12
36025,3,0
36027,2,51
36029,6,262
36031,1,0
36033,2,13
36035,1,8
36037,1,10
36039,0,0
36041,0,0
36043,1,0
36045,3,10
36047,12,318
36049,1,6
36051,1,0
36053,2,6
36055,5,191
36057,1,8
36059,10,461
36061,12,761
36063,3,32
36065,3,51
36067,3,152
36069,3,27
36071,4,76
36073,1,0
36075,1,8
36077,2,14
36079,1,10
36081,6,129
36083,3,12
36085,2,114
36087,3,39
36089,5,20
36091,1,19
36093,2,36
36095,1,0
36097,1,0
36099,0,0
36101,3,8
36103,10,281
36105,2,10
36107,0,0
36109,1,16
36111,3,25
36113,1,24
36115,0,0
36117,1,8
36119,9,179
36121,1,5
36123,1,0
37001,1,20
37003,0,0
37005,1,0
37007,1,0
37009,1,0
37011,1,0
37013,1,8
37015,1,0
37017,1,4
37019,2,19
37021,1,166
37023,1,16
37025,1,25
37027,1,12
37029,0,0
37031,1,8
37033,0,0
37035,2,52
37037,1,4
37039,1,0
37041,1,4
37043,0,0
37045,2,57
37047,1,10
37049,1,72
37051,1,48
37053,0,0
37055,1,0
37057,2,29
37059,1,0
37061,1,9
37063,3,148
37065,1,15
37067,3,259
37069,0,0
37071,1,74
37073,0,0
37075,0,0
37077,1,6
37079,0,0
37081,2,142
37083,2,16
37085,1,14
37087,1,12
37089,2,27
37091,1,10
37093,1,0
37095,0,0
37097,3,36
37099,1,9
37101,1,24
37103,0,0
37105,1,8
37107,1,14
37109,1,10
37111,1,9
37113,2,5
37115,0,0
37117,1,6
37119,7,173
37121,1,0
37123,1,0
37125,1,68
37127,1,21
37129,2,57
37131,0,0
37133,1,14
37135,1,13
37137,0,0
37139,1,10
37141,1,0
37143,0,0
37145,1,6
37147,1,71
37149,1,6
37151,1,12
37153,0,0
37155,1,25
37157,1,9
37159,1,20
37161,1,18
37163,1,8
37165,1,8
37167,1,10
37169,1,0
37171,2,10
37173,2,0
37175,1,4
37177,0,0
37179,1,14
37181,1,20
37183,4,175
37185,0,0
