FIPS,hospitals,icu_beds,total_pop,60plus,
31093,1,0,6385,1788,
31095,1,0,7276,2404,
31097,1,0,5200,1335,
31099,1,0,6547,1735,
31101,1,0,8129,2712,
31103,0,0,720,230,
31105,1,0,3688,1160,
31107,1,0,8496,2628,
31109,4,108,306357,55100,
31111,1,19,35569,8746,
31113,0,0,919,229,
31115,0,0,537,172,
31117,0,0,432,115,
31119,1,24,35062,7213,
31121,1,0,7829,2144,
31123,1,0,4903,1322,
31125,0,0,3569,1046,
31127,1,0,7041,1894,
31129,1,0,4318,1511,
31131,2,0,15875,4084,
31133,1,0,2704,885,
31135,1,0,2904,883,
31137,1,0,9163,2410,
31139,2,0,7175,1814,
31141,2,5,32875,7783,
31143,1,0,5244,1551,
31145,1,0,10870,2755,
31147,1,0,8045,2480,
31149,0,0,1381,505,
31151,2,0,14325,2883,
31153,2,8,175188,26946,
31155,1,0,20953,5028,
31157,1,22,36509,9022,
31159,1,0,17045,3968,
31161,1,0,5241,1703,
31163,0,0,3048,1003,
31165,0,0,1256,415,
31167,0,0,6020,1401,
31169,1,0,5133,1792,
31171,0,0,643,195,
31173,1,0,7055,1213,
31175,1,0,4252,1353,
31177,1,0,20414,4635,
31179,1,0,9409,1963,
31181,1,0,3597,1110,
31183,0,0,846,289,
31185,2,0,13832,3577,
32001,1,0,24022,5694,
32003,19,535,2112436,405618,
32005,1,0,47632,16331,
32007,1,7,52377,8008,
32009,0,0,1102,386,
32011,0,0,1728,452,
32013,1,3,17088,3163,
32015,1,0,5887,1155,
32017,1,0,5203,1418,
32019,1,0,52303,14565,
32021,1,0,4471,1341,
32023,1,0,43296,15960,
32027,1,0,6661,1468,
32029,0,0,3891,1510,
32031,5,331,445551,95558,
32033,1,0,9858,2291,
32510,1,24,54219,14410,
33001,1,10,60383,17260,
33003,2,8,47524,16281,
33005,1,27,76109,19389,
33007,3,3,32119,9795,
33009,5,54,89280,23734,
33011,5,62,406371,84563,
33013,3,18,147958,34833,
33015,3,43,302479,69798,
33017,2,17,126552,25034,
33019,1,0,43073,11885,
34001,2,64,272926,62613,
34003,6,147,937920,211672,
34005,3,82,449192,98530,
34007,4,199,510996,104370,
34009,1,16,94549,31925,
34011,1,36,154952,30141,
34013,7,267,800401,146732,
